CntryCode,Region,delta13C,delta15N,delta18O,delta2H,delta34S,Long,Lat
BW,SAfr,-18,12.2,17.5,-8.2,10.2,28.91,-22.2
BW,SAfr,-17.9,10.8,18.7,-33.9,13.7,23.34,-19.8
BW,SAfr,-21,10.1,16.7,-40.1,12.5,25.13,-17.84
BW,SAfr,-20.2,8.8,17,-40.7,10.6,25.13,-17.84
BW,SAfr,-20.3,10.9,17.9,-37,12.5,23.34,-19.8
BW,SAfr,-20.5,8.8,18.6,-50.9,11.7,23.34,-19.8
BW,SAfr,-21.7,8.8,14.4,-42.3,10.7,27.57,-21.65
BW,SAfr,-21.3,12.9,16.2,-44.9,11,23.34,-19.8
BW,SAfr,-20.7,8.5,17.5,-28.1,14.5,23.34,-19.8
BW,SAfr,-21.3,9.1,21.6,-44.8,13,25.13,-17.84
BW,SAfr,-20,10.5,19.8,-45.8,16.5,25.13,-17.84
BW,SAfr,-18.8,9.5,20.5,-37.2,12.9,25.13,-17.84
BW,SAfr,-19.8,11,19.3,-40.4,11.1,25.13,-17.84
BW,SAfr,-20.3,9,19.1,-45.6,14.7,25.13,-17.84
BW,SAfr,-19.3,9.7,16.3,-48.6,13.1,25.13,-17.84
BW,SAfr,-19.4,10.2,20.7,-29.8,12.9,25.13,-17.84
BW,SAfr,-16.4,10.2,19.5,-36,12.5,25.13,-17.84
BW,SAfr,-19.2,9.5,21,-35.4,12.2,23.34,-19.8
BW,SAfr,-18.4,10,16.9,-34.2,11.8,23.34,-19.8
BW,SAfr,-20.2,8.6,18.4,-38.8,11.7,25.13,-17.84
BW,SAfr,-20.9,10,17.9,-35,13.9,21.93,-21.72
BW,SAfr,-19.5,11.5,19.2,-31.7,11.6,23.34,-19.8
BW,SAfr,-21.3,9.5,18.4,-39.6,5.5,25.81,-24.72
BW,SAfr,-20.7,10.9,19.5,-34.4,14,23.34,-19.8
BW,SAfr,-20.8,10.3,19.7,-29.1,14.4,23.34,-19.8
BW,SAfr,-20,10.2,17.9,-40.2,11.2,23.34,-19.8
BW,SAfr,-19.7,10.7,16.8,-39.7,11.5,23.34,-19.8
BW,SAfr,-20.6,11.2,20,-27,15.6,25.81,-24.72
BW,SAfr,-20.2,10.8,16.9,-43.9,16.8,23.34,-19.8
BW,SAfr,-21.2,9.9,16.3,-33.8,8.6,27.73,-21.87
BW,SAfr,-19.1,12.2,17.2,-30.8,10.1,28.91,-22.2
BW,SAfr,-21.4,10.2,17.1,-27.7,8,27.73,-21.89
BW,SAfr,-20.7,9.2,18.7,-38,11.3,28.42,-22
BW,SAfr,-20.8,9.8,16.8,-45.2,9.9,28.42,-22
BW,SAfr,-21.4,8.7,18.5,-35,10.7,28.42,-22
BW,SAfr,-18.6,11.8,18.4,-16.4,11.3,28.91,-22.2
BW,SAfr,-21.6,10.5,16.9,-33.2,10.5,28.91,-22.2
BW,SAfr,-20.3,11.2,20.6,-21.6,15.7,23.34,-19.8
BW,SAfr,-20.5,10,16.9,-43.7,9.9,28.42,-22
BW,SAfr,-22,9.6,16.3,-34.7,12.2,28.42,-22
BW,SAfr,-22,9.6,17.2,-34.2,12.9,28.42,-22
BW,SAfr,-20.4,10.3,18.7,-34.6,11,28.91,-22.2
BW,SAfr,-19.9,10.9,17.5,-29.9,12.4,28.91,-22.2
BW,SAfr,-16.5,11.6,19.1,-15,10.7,28.91,-22.2
BW,SAfr,-18.5,11,19.4,-25.9,10.2,28.91,-22.2
BW,SAfr,-19.9,11.6,18.9,-27.9,10.7,28.91,-22.2
BW,SAfr,-18.9,10.8,18.5,-21.8,10.3,28.91,-22.2
NAM,SAfr,-21,10.1,18.1,-37.4,13.5,20.75,-18.5
NAM,SAfr,-20.7,8.9,18.2,-34.1,14.7,20.75,-18.5
NAM,SAfr,-21.3,9.2,17.9,-42,14.7,20.75,-18.5
NAM,SAfr,-22.5,8.6,15.5,-58.7,10.3,23.02,-17.86
ZA,SAfr,-21.4,9.4,16.7,-34.9,17.4,32.45,-27
MZ,SAfr,-23.4,7.9,16.8,-46,8.2,31.86,-14.75
MZ,SAfr,-23.6,7.7,17.4,-37,11.5,32,-14.75
MZ,SAfr,-20.8,7.8,16,-45,9.8,32,-14.75
ZW,SAfr,-22.6,7.9,16.2,-45.9,0.6,26,19
NG,WAfr,-15.3,10.4,17.7,-45.6,7.4,7.71,10.4
LR,WAfr,-21.4,5.9,18.8,-44.5,9.9,-7.62,5.39
LR,WAfr,-26,8,15.2,-59.1,10.5,-9.42,6.68
LR,WAfr,-28.5,8.9,14.6,-60.5,7,-9.42,6.68
TG,WAfr,-23.7,6.9,18.5,-41.8,6.5,1.1,8.9
TG,WAfr,-23.5,7.5,17.8,-41.5,7.6,0.63,8.58
TG,WAfr,-23.7,7.7,15,-51.6,7.7,0.63,8.58
TG,WAfr,-23,6.8,14.6,-59.1,4.6,0.63,8.58
GH,WAfr,-22.8,8.8,14.4,-57.8,8.8,-2.35,7.55
GH,WAfr,-23.1,7,15.6,-53.8,9.4,-2.35,7.55
CI,WAfr,-21.3,6.7,19.7,-36.6,9.9,4,8
CI,WAfr,-20.7,7,19.2,-30.2,7,4,9
CI,WAfr,-17.2,7,20.8,-28.5,9.4,3,9
BF,WAfr,-20.9,6.2,17.1,-56.4,10.8,-1.48,11.08
BF,WAfr,-21.9,4.4,16.2,-58.8,10.1,-1.48,11.08
BF,WAfr,-21.8,4.5,16.7,-57.2,10.2,-1.48,11.08
BF,WAfr,-22.4,5.8,18.3,-40.4,11.5,0.91,11.28
BF,WAfr,-22,6.3,18.1,-49.3,10.5,0.91,11.28
BF,WAfr,-21.4,5.2,19.1,-54.6,10,0.91,11.28
BF,WAfr,-21.7,5.4,17.4,-58.3,10.5,0.91,11.28
BF,WAfr,-20.9,5.3,20.5,-45.8,10,0.91,11.28
BF,WAfr,-22.5,5.1,18.7,-46.3,10.4,-1.48,11.08
BF,WAfr,-22.7,5.1,20.9,-45.2,11.4,-1.48,11.08
BF,WAfr,-22.7,5.1,21.4,-46.5,11.6,-1.48,11.08
BF,WAfr,-21.5,6,16.8,-55.5,8.6,0.71,11.46
BF,WAfr,-21.7,6.1,16.2,-55,8.7,0.71,11.46
BF,WAfr,-21.8,6.2,17,-49.8,7.1,-1.33,12.4
BF,WAfr,-20.9,5.5,20.5,-46.7,9.5,0.91,11.28
BF,WAfr,-22.7,5.6,20.6,-40.2,9.8,0.91,11.28
BF,WAfr,-23.6,5.4,17.6,-53.3,11.2,-1.48,11.08
BF,WAfr,-22.6,5,16.7,-55.7,11.2,-1.48,11.08
BF,WAfr,-22.7,5.1,21.7,-46.8,11,-1.48,11.08
BF,WAfr,-21.9,5.5,19.6,-48.1,10.8,0.71,11.46
BF,WAfr,-22.2,5.5,18.8,-46.3,10.4,0.71,11.46
BF,WAfr,-21.8,4.7,19,-53.1,9.8,0.71,11.46
BF,WAfr,-21.1,5.6,18.4,-49.2,8.1,-1.33,12.4
BF,WAfr,-22.3,6.1,15,-55.9,11.5,0.91,11.28
BF,WAfr,-22.5,6,15.3,-56.5,11.5,0.91,11.28
BF,WAfr,-22.3,5.7,17.8,-60.3,11.2,-1.48,11.08
BF,WAfr,-22.9,4.2,19.9,-46.7,9.8,-1.48,11.08
BF,WAfr,-22.3,4.8,18.8,-47.3,10.6,-1.48,11.08
BF,WAfr,-22.3,4.9,17.5,-54.5,10.7,-1.48,11.08
BF,WAfr,-22.4,5.6,18.2,-60.7,11,-1.48,11.08
BF,WAfr,-23.2,5.8,20.9,-41.7,9.9,0.91,11.28
BF,WAfr,-22.8,7,20.4,-47.5,11,0.91,11.28
BF,WAfr,-22.3,5.6,19.2,-41.3,10.3,-1.48,11.08
BF,WAfr,-22.1,5.8,18.4,-44.6,10.2,-1.48,11.08
BF,WAfr,-21.7,5,17.2,-56,11.7,0.71,11.46
BF,WAfr,-21.3,5.1,19,-47.1,10.9,0.71,11.46
BF,WAfr,-22,4.9,16.8,-50.9,10.7,0.71,11.46
BF,WAfr,-22.2,4.4,17,-45.8,10.2,0.71,11.46
BF,WAfr,-22.1,5.5,17.2,-54.8,10.6,0.71,11.46
BF,WAfr,-22.4,5.4,19.6,-53,10.3,0.71,11.46
BF,WAfr,-22.8,5.7,20.1,-47.1,10.3,0.91,11.28
BF,WAfr,-22,5,18.8,-53.8,9.9,-1.48,11.08
BF,WAfr,-22.3,4.9,19.8,-53,9.9,-1.48,11.08
BF,WAfr,-22.3,5.3,19.2,-34.7,10.2,-1.48,11.08
BF,WAfr,-22.9,5.5,18.4,-40.3,10.5,-1.48,11.08
BF,WAfr,-22.1,5.1,18.4,-41.1,10,-1.48,11.08
BF,WAfr,-21.4,5.7,18.1,-45.8,10.1,-1.48,11.08
BF,WAfr,-22.7,5.3,21,-38.2,10,-1.48,11.08
BF,WAfr,-22.8,5.2,16.9,-46,10.8,-1.48,11.08
BF,WAfr,-22.7,5.1,20.3,-37.6,10.5,-1.48,11.08
BF,WAfr,-22.6,4.6,21.5,-36.4,10,-1.48,11.08
BF,WAfr,-22.7,4.4,22.7,-32.9,10.3,-1.48,11.08
SL,WAfr,-24.4,8.9,13,-66.5,8,-13,8.31
SL,WAfr,-23.3,6.8,14.9,-62.7,10.8,-13,8.31
NG,WAfr,-21.5,5.6,19.7,-39.2,11.6,6,10
NG,WAfr,-21.5,5.6,20,-40.5,10.7,6,10
IN,Asia,-22,7.7,15.3,-48.2,10.9,76.1,10.3
IN,Asia,-19.8,6.7,15.1,-50.9,7.3,74.9,12.9
IN,Asia,-23,8.3,13.7,-66.1,7.5,91.9,23.2
ID,Asia,-21.4,8.9,13.4,-66.6,7.1,100.5,-0.8
ID,Asia,-21.6,10.7,11.5,-53.1,5.4,100.5,-0.8
MY,Asia,-22.5,7.9,11.8,-82.4,7.2,101.6,3.1
NP,Asia,-12.6,9.8,12.3,-66.2,4.8,84.3,27.5
LK,Asia,-18.6,7.9,14.7,-60.2,8.6,80.8,7.8
