CntryCode,Region,delta13C,delta15N,delta18O,delta2H,delta34S,Long,Lat
CF,CAfr,-22.2,7.1,19.6,-41,10,23,5
GA,CAfr,-26.6,10,15,-56.9,9.9,12.76,-1.18
TD,CAfr,-20.2,6.5,19.1,-39.6,12.9,18,10
TD,CAfr,-20.2,6.6,19.7,-37.2,11.4,18,10
GA,CAfr,-23.5,7.2,19.7,-36.5,10.5,9.25,-0.52
CF,CAfr,-25.6,12.8,19.7,-32.8,9.4,19,8
CM,CAfr,-21.6,9.5,19.2,-33.1,9.6,14.75,12.66
CM,CAfr,-21.2,5.8,19.9,-35.7,7.2,14.46,8.86
CM,CAfr,-22.6,7,19.6,-45.3,8.2,14,8.59
CF,CAfr,-21.4,7.4,16.9,-44.2,7.8,20.02,7.31
CD,CAfr,-23.2,9.5,15.9,-33.7,6.7,27.57,2.09
CD,CAfr,-24,10.5,15.4,-44.8,5.7,23.55,-1.35
CD,CAfr,-22.6,8.9,15.4,-45.5,8,21.77,-2.9
CD,CAfr,-20.5,7.9,18.3,-37.8,8.7,29.31,3.45
CD,CAfr,-25.6,10.8,16.9,-44.4,5.7,23.55,-1.35
CD,CAfr,-24.9,11.1,16.3,-48.5,5.6,23.55,-1.35
CD,CAfr,-26.4,12.1,16.2,-46.3,5.7,23.2,-1
CD,CAfr,-24.2,11.9,17.4,-37.8,6.8,27.18,2.25
CD,CAfr,-24.2,10.2,16.9,-42.9,6.8,21.45,-1
CM,CAfr,-25.8,8.2,14.6,-51.9,7.3,9.97,3.07
CM,CAfr,-25.2,13.4,19.2,-36.1,9.1,15.08,2.43
CD,CAfr,-18.8,9.8,20.2,-20.6,3.3,28.8,-2.24
CD,CAfr,-20.1,7.5,17,-33,7.1,29.12,3.71
CD,CAfr,-24.2,10.4,18.1,-38.4,7,13.02,-1.43
CD,CAfr,-23.7,10.8,16,-44.8,7.1,22.33,-2.68
CD,CAfr,-17.1,17.2,19.5,-8.2,3.7,29.18,-0.35
CD,CAfr,-21.5,6.3,19.7,-29.4,11.2,29.12,3.71
CD,CAfr,-27.1,11.2,13.7,-62,6.9,21.31,-2.34
CF,CAfr,-25.7,12.8,19.8,-36.6,9,19,8
GA,CAfr,-26.6,10.4,14.9,-57.1,8.2,12.76,-1.18
CD,CAfr,-22.2,7.7,19.9,-36.8,5.7,12,4
CG,CAfr,-23.2,8.4,18.4,-40.9,11.3,13,2
CG,CAfr,-25.9,9.4,19.5,-32.8,1.5,18,1
SD,EAfr,-19.9,8.3,19.3,-35.9,6.2,31.75,4.8
SD,EAfr,-19.6,6.7,18.5,-38.5,3.8,31.75,4.083
TZ,EAfr,-20.1,10.7,15.4,-41.9,9.1,35.46,-3.2
TZ,EAfr,-21,10.1,15.4,-61,6.8,35.46,-3.2
TZ,EAfr,-21.3,10.1,15,-59.3,9.1,35.46,-3.2
TZ,EAfr,-22.7,9.1,15.6,-61.3,9.2,35.46,-3.2
KE,EAfr,-19.5,13.4,14.8,-27.7,9.2,38.12,-2.13
TZ,EAfr,-18.6,14.1,17.7,-33.6,10.5,37.63,-4.91
SO,EAfr,-19.9,7.3,20.6,-30.4,9.3,41.45,-1.35
SO,EAfr,-19.7,7.3,21.1,-35.8,8.3,41.45,-1.35
KE,EAfr,-20.4,10.2,14.8,-33.4,9.3,37.49,0.73
KE,EAfr,-22.2,9.4,9.8,-67.8,2.8,37.35,0.71
KE,EAfr,-19.4,12,15.3,-42.8,10.4,37.88,-2.9
